상세도로망 Level6 링크ID,도로등급,링크 길이,도로명,시도명,시군구명,읍면동명,시간적범위,평일주말,혼잡시간강도
54710513301,103,0.017,,전라남도,광양시,진월면,전일,평일,100
54710513302,103,0.017,,전라남도,광양시,진월면,전일,평일,100
54710513001,103,0.018,,전라남도,광양시,진월면,전일,평일,53.5
54710513002,103,0.018,,전라남도,광양시,진월면,전일,평일,84
54710517801,103,0.018,,전라남도,광양시,진월면,전일,평일,100
54710517802,103,0.018,,전라남도,광양시,진월면,전일,평일,100
54710518201,103,0.02,,전라남도,광양시,진월면,전일,평일,35.6
54710518202,103,0.02,,전라남도,광양시,진월면,전일,평일,52.7
54710518002,103,0.022,,전라남도,광양시,진월면,전일,평일,40.4
54710518001,103,0.022,,전라남도,광양시,진월면,전일,평일,56.3
54710511801,103,0.024,,전라남도,광양시,진월면,전일,평일,100
54710514501,103,0.025,,전라남도,광양시,진월면,전일,평일,100
54710514502,103,0.025,,전라남도,광양시,진월면,전일,평일,100
54710512001,103,0.028,,전라남도,광양시,진월면,전일,평일,98.5
54710512101,103,0.032,,전라남도,광양시,진월면,전일,평일,100
54710512201,103,0.032,섬진강매화로,전라남도,광양시,진월면,전일,평일,100
54710517601,103,0.035,,전라남도,광양시,진월면,전일,평일,100
54710517901,103,0.063,,전라남도,광양시,진월면,전일,평일,100
54710517902,103,0.063,,전라남도,광양시,진월면,전일,평일,100
54710518302,103,0.217,,전라남도,광양시,진월면,전일,평일,35.5
54710518301,103,0.217,,전라남도,광양시,진월면,전일,평일,47.2
54710513402,103,0.354,,전라남도,광양시,진월면,전일,평일,98.4
54710513401,103,0.354,,전라남도,광양시,진월면,전일,평일,98.7
54710512602,103,0.469,,전라남도,광양시,진월면,전일,평일,27.7
54710512601,103,0.469,,전라남도,광양시,진월면,전일,평일,45.8
53780511901,103,1.065,,전라남도,광양시,진월면,전일,평일,16.3
53780511902,103,1.065,,전라남도,광양시,진월면,전일,평일,46
54710518102,103,1.915,,전라남도,광양시,진월면,전일,평일,34.7
54710518101,103,1.915,,전라남도,광양시,진월면,전일,평일,68
54610005901,103,0.031,경서대로,전라남도,광양시,다압면,전일,평일,100
54610005902,103,0.031,경서대로,전라남도,광양시,다압면,전일,평일,100
54610037402,103,0.191,백운3로,전라남도,광양시,다압면,전일,평일,100
54610037401,103,0.191,백운3로,전라남도,광양시,다압면,전일,평일,100
54610121401,103,0.322,섬진강매화로,전라남도,광양시,다압면,전일,평일,99.2
54610121402,103,0.322,섬진강매화로,전라남도,광양시,다압면,전일,평일,99.8
54610005801,103,0.418,경서대로,전라남도,광양시,다압면,전일,평일,99.4
54610005802,103,0.418,경서대로,전라남도,광양시,다압면,전일,평일,99.6
54610091902,103,3.983,백운3로,전라남도,광양시,다압면,전일,평일,100
54610091901,103,3.983,백운3로,전라남도,광양시,다압면,전일,평일,100
54610070401,103,0.015,백운3로,전라남도,광양시,진상면,전일,평일,95.9
54610070402,103,0.015,백운3로,전라남도,광양시,진상면,전일,평일,99.8
54610197602,103,0.016,백운3로,전라남도,광양시,진상면,전일,평일,69.7
54610197601,103,0.016,백운3로,전라남도,광양시,진상면,전일,평일,76.2
54610221901,103,0.017,백운3로,전라남도,광양시,진상면,전일,평일,98.5
54610221902,103,0.017,백운3로,전라남도,광양시,진상면,전일,평일,99.7
54610198001,103,0.018,백운3로,전라남도,광양시,진상면,전일,평일,69.5
54610198002,103,0.018,백운3로,전라남도,광양시,진상면,전일,평일,76.7
54610078702,103,0.021,백운2로,전라남도,광양시,진상면,전일,평일,91.2
54610078701,103,0.021,백운2로,전라남도,광양시,진상면,전일,평일,98.2
54610221501,103,0.021,백운2로,전라남도,광양시,진상면,전일,평일,100
54610221502,103,0.021,백운2로,전라남도,광양시,진상면,전일,평일,100
54610221401,103,0.029,백운3로,전라남도,광양시,진상면,전일,평일,100
54610072502,103,0.031,백운3로,전라남도,광양시,진상면,전일,평일,74.6
54610072501,103,0.031,백운3로,전라남도,광양시,진상면,전일,평일,90.3
54610165201,103,0.033,백운3로,전라남도,광양시,진상면,전일,평일,87.8
54610165202,103,0.033,백운3로,전라남도,광양시,진상면,전일,평일,94.7
54610006301,103,0.035,백운3로,전라남도,광양시,진상면,전일,평일,71.9
54610006302,103,0.035,백운3로,전라남도,광양시,진상면,전일,평일,78.2
54610078501,103,0.038,백운2로,전라남도,광양시,진상면,전일,평일,93
